close,y_pred,y_pred_best,y_pred_xgb,y_pred_svm,y_pred_stack,y_pred_crossover,y_pred_rsi,market_returns,position,position_best,position_xgb,position_svm,position_crossover,position_rsi,position_stack,strategy_returns,strategy_best_returns,strategy_xgb_returns,strategy_svm_returns,strategy_crossover_returns,strategy_rsi_returns,strategy_stack_returns,cumulative_market,cumulative_strategy,cumulative_strategy_best,cumulative_strategy_xgb,cumulative_strategy_svm,cumulative_strategy_crossover,cumulative_strategy_rsi,cumulative_strategy_stack
120.5,0,0,0,0,0,0,0,0.013712458988811349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0512999476531153,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
128.31,0,0,0,0,0,0,0,0.06481327800829884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1194381434304668,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
121.31,0,0,0,0,0,0,0,-0.05455537370430985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0583667771767589,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
126.75,0,0,0,0,0,0,0,0.04484378864067273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058279532367834,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
124.06,0,0,0,0,0,0,0,-0.02122287968441816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0823590996335728,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
124.31,0,0,0,0,0,0,0,0.0020151539577624167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0845402198569196,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
117.87,0,0,0,0,0,0,0,-0.05180596894859624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0283545629035082,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
115.06,0,0,0,0,0,0,0,-0.023839823534402282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0038387715930912,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
110.69,0,0,0,0,0,0,0,-0.037980184251694804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9657127900889906,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
113.12,0,0,0,0,0,0,0,0.02195320263799805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869132786599206,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
110.12,0,0,0,0,0,0,0,-0.026520509193776465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9607398359797601,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
105.44,0,0,0,0,0,0,0,-0.04249909189974577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9199092653987095,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
99.31,0,0,0,0,0,0,0,-0.058137329286798156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8664281975222482,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
102.81,0,0,0,0,0,0,0,0.03524317792770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8969638806491022,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
107.62,0,0,0,0,0,0,0,0.04678533216613179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938928633746293,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
101.0,0,0,0,0,0,0,0,-0.06151272997584101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.881172570232072,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
105.69,0,0,0,0,0,0,0,0.04643564356435648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9220903856220564,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
101.37,0,0,0,0,0,0,0,-0.04087425489639507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8844006281626252,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
100.75,0,0,0,0,0,0,0,-0.006116207951070374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8789914500087254,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
94.0,0,0,0,0,0,0,0,-0.0669975186104218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8201012039783642,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
89.94,0,0,0,0,0,0,0,-0.04319148936170214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7846798115512136,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
85.81,0,0,0,0,0,0,0,-0.04591950189014893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7486477054615259,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
87.69,0,0,0,0,0,0,0,0.02190886843025286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650497295410932,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
87.27,0,0,0,0,0,0,0,-0.004789599726308658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7613854475658707,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
86.37,0,0,0,0,0,0,0,-0.010312822275695965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7535334147618227,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
87.56,0,0,0,0,0,0,0,0.013777932152367667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763915547024953,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
84.0,0,0,0,0,0,0,0,-0.04065783462768391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7328563950444957,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
89.12,0,0,0,0,0,0,0,0.06095238095238109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775257372186365,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
92.56,0,0,0,0,0,0,0,0.03859964093357271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8075379514918872,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
91.31,0,0,0,0,0,0,0,-0.013504753673292957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7966323503751537,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
92.87,0,0,0,0,0,0,0,0.017084656664111186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8102425405688372,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
96.56,0,0,0,0,0,0,0,0.03973296005168514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424358750654346,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
94.81,0,0,0,0,0,0,0,-0.018123446561723267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8271680335020076,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
95.75,0,0,0,0,0,0,0,0.00991456597405338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8353690455417913,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
91.19,0,0,0,0,0,0,0,-0.047624020887728435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7955854126679472,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
94.5,0,0,0,0,0,0,0,0.03629783967540301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8244634444250577,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
90.44,0,0,0,0,0,0,0,-0.04296296296296298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7890420519979071,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
92.37,0,0,0,0,0,0,0,0.021340114993365855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8058803001221438,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
91.19,0,0,0,0,0,0,0,-0.01277471040381084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7955854126679472,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
96.62,0,0,0,0,0,0,0,0.05954600285118983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429593439190378,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
101.25,0,0,0,0,0,0,0,0.04791968536534874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833536904554189,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
55.63,0,0,0,0,0,0,1,-0.4505679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.48534287209911064,1.0,1.0,1.0,1.0,1.0807014482638289,1.0,1.0
53.75,0,0,0,0,0,0,1,-0.03379471508179044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03379471508179044,-0.0,0.46894084801954333,1.0,1.0,1.0,1.0,1.0807014482638289,0.9662052849182096,1.0
51.69,0,0,0,0,0,0,1,-0.03832558139534892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03832558139534892,-0.0,0.4509684173791664,1.0,1.0,1.0,1.0,1.0807014482638289,0.9291749056264604,1.0
54.13,0,0,0,0,0,0,1,0.04720448829560864,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04720448829560864,0.0,0.4722561507590304,1.0,1.0,1.0,1.0,1.0807014482638289,0.973036131583678,1.0
51.75,0,0,0,0,0,0,1,-0.043968224644374665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.043968224644374665,-0.0,0.45149188623276965,1.0,1.0,1.0,1.0,1.0807014482638289,0.9302534603631135,1.0
54.44,0,0,0,0,0,0,1,0.05198067632850245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05198067632850245,0.0,0.4749607398359803,1.0,1.0,1.0,1.0,1.0807014482638289,0.9786086643897179,1.0
51.25,0,0,0,0,0,0,1,-0.05859662013225564,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05859662013225564,-0.0,0.4471296457860763,1.0,1.0,1.0,1.0,1.0807014482638289,0.9212655042243396,1.0
52.38,0,0,0,0,0,0,1,0.022048780487804898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022048780487804898,0.0,0.45698830919560346,1.0,1.0,1.0,1.0,1.0807014482638289,0.9415782850979689,1.0
53.31,0,0,0,0,0,0,0,0.017754868270332125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017754868270332125,0.0,0.4651020764264532,1.0,1.0,1.0,1.0,1.0807014482638289,0.9582958835160886,1.0
51.63,0,0,0,0,0,0,1,-0.03151378728193588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45044494852556327,1.0,1.0,1.0,1.0,1.0807014482638289,0.9582958835160886,1.0
51.81,0,0,0,0,0,0,0,0.0034863451481697005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034863451481697005,0.0,0.4520153550863729,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
54.44,0,0,0,0,0,0,0,0.050762401080872266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47496073983598025,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
57.13,0,0,0,0,0,0,0,0.04941219691403398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49842959343919097,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
56.94,0,0,0,0,0,0,0,-0.003325748293366071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4967719420694474,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
58.88,0,0,0,0,0,0,0,0.034070951879171085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136974350026179,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
56.5,0,0,0,0,0,0,0,-0.04042119565217395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.49293317047635715,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
57.69,0,0,0,0,0,0,0,0.021061946902654727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033153027394874,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
58.31,0,0,0,0,0,0,0,0.010747096550528745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087244808933873,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
57.25,0,0,0,0,0,0,0,-0.01817870005144917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.49947653114639723,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
52.69,0,0,0,0,0,0,0,-0.0796506550218341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45969289827255316,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
55.13,0,0,0,0,0,0,0,0.04630859745682292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48098063165241706,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
53.56,0,0,0,0,0,0,0,-0.02847814257210235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.46728319664979967,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
48.69,0,0,0,0,0,0,0,-0.0909260642270352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4247949746990057,1.0,1.0,1.0,1.0,1.0807014482638289,0.9616368337200959,1.0
